episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(3, 3, 0, 176)",2,-0.55,"(4, 3, 0, 175)",0,-0.0825,-0.142601,-0.400675,0.15,0.99,0.996004
5,1000,"(5, 3, 0, 126)",0,0.45,"(4, 3, 0, 125)",0,0.064114,0.100096,0.239885,0.15,0.99,0.992024
7,1500,"(5, 1, 0, 76)",3,-1.05,"(5, 1, 0, 75)",0,0.0,-0.1575,-1.05,0.15,0.99,0.98806
9,2000,"(3, 3, 0, 26)",3,-0.55,"(3, 2, 0, 25)",0,-0.0825,-0.152625,-0.4675,0.15,0.99,0.984112
12,2500,"(3, 3, 0, 201)",2,-1.05,"(3, 3, 0, 200)",0,-0.0825,-0.214192,-0.877947,0.15,0.99,0.978219
14,3000,"(6, 7, 0, 151)",2,-0.55,"(7, 7, 0, 150)",0,0.0,-0.080136,-0.53424,0.15,0.99,0.97431
16,3500,"(1, 6, 0, 101)",2,-1.05,"(1, 6, 0, 100)",0,-0.651452,-0.710869,-0.396116,0.15,0.99,0.970416
18,4000,"(12, 5, 0, 51)",2,-0.55,"(13, 5, 0, 50)",0,0.0,-0.0825,-0.55,0.15,0.99,0.966539
20,4500,"(8, 5, 0, 1)",2,-20.55,"(9, 5, 0, 0)",1,-0.072476,-3.144105,-20.477524,0.15,0.99,0.962676
23,5000,"(6, 1, 0, 176)",1,-1.05,"(6, 1, 0, 175)",0,-1.1626,-1.122429,0.267809,0.15,0.99,0.956912
25,5500,"(5, 1, 0, 126)",3,-1.05,"(5, 1, 0, 125)",0,-0.257469,-0.373684,-0.774771,0.15,0.99,0.953088
27,6000,"(4, 3, 0, 76)",1,-1.05,"(4, 3, 0, 75)",0,-0.0825,-0.239876,-1.049175,0.15,0.99,0.949279
29,6500,"(3, 14, 0, 26)",1,-1.05,"(3, 14, 0, 25)",0,0.0,-0.1575,-1.05,0.15,0.99,0.945486
32,7000,"(2, 1, 0, 201)",2,0.45,"(3, 1, 0, 200)",0,0.672378,0.700101,0.184821,0.15,0.99,0.939825
34,7500,"(3, 3, 0, 151)",2,-1.05,"(3, 3, 0, 150)",0,-0.285781,-0.386794,-0.673416,0.15,0.99,0.936069
36,8000,"(1, 6, 0, 101)",3,-1.05,"(1, 6, 0, 100)",0,-0.157361,-0.273171,-0.772067,0.15,0.99,0.932328
38,8500,"(3, 14, 0, 51)",1,-0.55,"(3, 15, 0, 50)",0,0.0,-0.0825,-0.55,0.15,0.99,0.928603
40,9000,"(1, 5, 0, 1)",0,-21.05,"(1, 5, 0, 0)",1,-0.507105,-3.588539,-20.542895,0.15,0.99,0.924892
43,9500,"(1, 4, 0, 176)",0,-0.55,"(1, 3, 0, 175)",0,-2.314554,-2.102731,1.412154,0.15,0.99,0.919354
45,10000,"(1, 4, 0, 126)",3,-0.55,"(1, 3, 0, 125)",0,-1.997369,-1.941057,0.375412,0.15,0.99,0.91568
47,10500,"(7, 3, 0, 76)",0,0.45,"(6, 3, 0, 75)",0,0.27628,0.357302,0.540146,0.15,0.99,0.912021
49,11000,"(1, 12, 0, 26)",1,0.45,"(1, 13, 0, 25)",0,0.264516,0.33217,0.451027,0.15,0.99,0.908377
52,11500,"(5, 3, 0, 201)",1,0.45,"(4, 3, 0, 200)",0,-0.152625,-0.048861,0.691759,0.15,0.99,0.902937
54,12000,"(1, 1, 0, 151)",3,-1.05,"(1, 1, 0, 150)",0,-0.623269,-0.62514,-0.012474,0.15,0.99,0.899329
56,12500,"(3, 9, 0, 101)",3,-1.05,"(3, 9, 0, 100)",0,-0.066375,-0.213919,-0.983625,0.15,0.99,0.895735
58,13000,"(10, 1, 0, 51)",2,-1.05,"(10, 1, 0, 50)",0,-0.157285,-0.30003,-0.951632,0.15,0.99,0.892156
60,13500,"(14, 9, 0, 1)",2,-20.55,"(15, 9, 0, 0)",1,-0.278711,-3.319404,-20.271289,0.15,0.99,0.888591
63,14000,"(8, 1, 0, 176)",0,-1.05,"(8, 1, 0, 175)",0,-2.904016,-2.698857,1.367731,0.15,0.99,0.88327
65,14500,"(3, 15, 0, 126)",1,-1.05,"(3, 15, 0, 125)",0,-0.291375,-0.405169,-0.758625,0.15,0.99,0.879741
67,15000,"(1, 5, 0, 76)",1,0.45,"(1, 6, 0, 75)",0,0.136744,0.1904,0.357709,0.15,0.99,0.876225
69,15500,"(3, 2, 0, 26)",3,-0.55,"(3, 1, 0, 25)",0,-0.461112,-0.481925,-0.138751,0.15,0.99,0.872724
72,16000,"(2, 1, 0, 201)",2,0.45,"(3, 1, 0, 200)",0,0.726548,0.773394,0.312306,0.15,0.99,0.867498
74,16500,"(5, 3, 0, 151)",2,-0.55,"(6, 3, 0, 150)",0,-0.050059,-0.024118,0.17294,0.15,0.99,0.864031
76,17000,"(1, 3, 0, 101)",2,-0.55,"(2, 3, 0, 100)",0,-1.263459,-1.256859,0.044003,0.15,0.99,0.860579
78,17500,"(1, 8, 0, 51)",1,0.45,"(1, 9, 0, 50)",0,0.649028,0.690461,0.276218,0.15,0.99,0.85714
80,18000,"(2, 1, 0, 1)",0,-20.55,"(1, 1, 0, 0)",1,-0.197896,-3.250712,-20.352104,0.15,0.99,0.853715
