episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
98,22000,"(12, 1, 0, 51)",2,-0.05,"(13, 1, 0, 50)",0,-0.037294,-0.042749,-0.036367,0.15,0.99,0.823498
100,22500,"(1, 7, 0, 1)",2,-0.05,"(1, 7, 0, 0)",1,-0.072916,-0.069478,0.022916,0.15,0.99,0.820207
103,23000,"(7, 10, 0, 176)",2,-0.05,"(7, 10, 0, 175)",0,0.0,-0.0075,-0.05,0.15,0.99,0.815296
105,23500,"(5, 4, 0, 126)",1,-0.05,"(5, 5, 0, 125)",0,-0.100524,-0.104442,-0.026118,0.15,0.99,0.812038
107,24000,"(4, 3, 0, 76)",2,-0.05,"(5, 3, 0, 75)",0,-0.057322,-0.064309,-0.04658,0.15,0.99,0.808793
109,24500,"(7, 8, 0, 26)",2,-0.05,"(7, 7, 0, 25)",0,-0.060193,-0.06228,-0.013919,0.15,0.99,0.805561
112,25000,"(3, 2, 0, 201)",1,-0.05,"(3, 3, 0, 200)",0,-0.209995,-0.211358,-0.009089,0.15,0.99,0.800737
114,25500,"(9, 3, 0, 151)",1,-0.05,"(9, 4, 0, 150)",0,-0.070299,-0.076691,-0.042608,0.15,0.99,0.797538
116,26000,"(3, 6, 0, 101)",1,-0.05,"(3, 6, 0, 100)",0,-0.062553,-0.06996,-0.049374,0.15,0.99,0.794351
118,26500,"(7, 6, 0, 51)",3,-0.05,"(7, 5, 0, 50)",0,-0.051056,-0.061853,-0.071983,0.15,0.99,0.791176
120,27000,"(15, 6, 0, 1)",1,-0.05,"(15, 7, 0, 0)",1,-0.019294,-0.0239,-0.030706,0.15,0.99,0.788015
123,27500,"(1, 3, 0, 176)",0,-0.05,"(1, 3, 0, 175)",0,-0.153489,-0.158435,-0.032974,0.15,0.99,0.783296
125,28000,"(3, 9, 0, 126)",1,-0.05,"(3, 9, 0, 125)",0,-0.068213,-0.075611,-0.049318,0.15,0.99,0.780166
127,28500,"(9, 10, 0, 76)",1,-0.05,"(9, 11, 0, 75)",0,-0.019294,-0.02596,-0.044443,0.15,0.99,0.777049
129,29000,"(3, 7, 0, 26)",2,-0.05,"(3, 7, 0, 25)",0,-0.076182,-0.079803,-0.024136,0.15,0.99,0.773944
132,29500,"(5, 4, 0, 201)",1,-0.05,"(5, 5, 0, 200)",0,-0.026765,-0.031364,-0.03066,0.15,0.99,0.769309
134,30000,"(7, 11, 0, 151)",0,-0.05,"(7, 11, 0, 150)",0,0.0,-0.0075,-0.05,0.15,0.99,0.766235
136,30500,"(11, 2, 0, 101)",1,-0.05,"(11, 3, 0, 100)",0,-0.076109,-0.081033,-0.032825,0.15,0.99,0.763173
138,31000,"(11, 13, 0, 51)",1,-0.05,"(10, 13, 0, 50)",0,-0.065005,-0.068799,-0.025294,0.15,0.99,0.760123
140,31500,"(5, 8, 0, 1)",0,-0.05,"(5, 8, 0, 0)",1,-0.065075,-0.062814,0.015075,0.15,0.99,0.757086
