episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
158,35500,"(3, 3, 0, 51)",2,-0.55,"(4, 3, 0, 50)",0,-0.879272,-0.897798,-0.123506,0.15,0.99,0.730289
160,36000,"(9, 15, 1, 1)",3,-20.55,"(10, 15, 1, 0)",1,-0.697068,-3.675008,-19.852932,0.15,0.99,0.727371
163,36500,"(1, 7, 0, 176)",3,-0.55,"(1, 6, 0, 175)",0,-0.525371,-0.527204,-0.012221,0.15,0.99,0.723016
165,37000,"(3, 3, 0, 126)",0,0.45,"(2, 3, 0, 125)",0,-1.193485,-1.210395,-0.112732,0.15,0.99,0.720126
167,37500,"(5, 15, 0, 76)",0,-1.05,"(5, 15, 0, 75)",0,-1.109654,-1.13096,-0.142037,0.15,0.99,0.717249
169,38000,"(1, 5, 0, 26)",0,-1.05,"(1, 5, 0, 25)",0,-1.212219,-1.205416,0.045352,0.15,0.99,0.714383
172,38500,"(4, 3, 0, 201)",1,-1.05,"(4, 3, 0, 200)",0,-1.450736,-1.5451,-0.629096,0.15,0.99,0.710105
174,39000,"(5, 4, 0, 151)",3,-1.05,"(5, 4, 0, 150)",0,-0.502389,-0.651399,-0.993402,0.15,0.99,0.707267
176,39500,"(2, 1, 0, 101)",1,-1.05,"(2, 1, 0, 100)",0,-0.236672,-0.330335,-0.624418,0.15,0.99,0.704441
178,40000,"(5, 15, 0, 51)",3,-0.55,"(5, 14, 0, 50)",0,-0.902526,-0.859386,0.2876,0.15,0.99,0.701626
180,40500,"(5, 15, 0, 1)",0,-21.05,"(5, 15, 0, 0)",1,-1.726407,-4.624946,-19.323593,0.15,0.99,0.698823
183,41000,"(4, 1, 0, 176)",2,-1.05,"(4, 1, 0, 175)",0,-0.600507,-0.734356,-0.892333,0.15,0.99,0.694638
185,41500,"(5, 4, 0, 126)",1,-0.55,"(5, 5, 0, 125)",0,-0.282634,-0.285012,-0.015851,0.15,0.99,0.691862
187,42000,"(3, 2, 0, 76)",0,-1.05,"(3, 2, 0, 75)",0,-0.705075,-0.846784,-0.94473,0.15,0.99,0.689098
189,42500,"(3, 3, 0, 26)",0,0.45,"(2, 3, 0, 25)",0,-4.02707,-3.673889,2.354542,0.15,0.99,0.686344
192,43000,"(2, 3, 0, 201)",3,-1.05,"(2, 3, 0, 200)",0,-2.683707,-2.804794,-0.807244,0.15,0.99,0.682234
194,43500,"(5, 3, 0, 151)",1,-0.55,"(5, 4, 0, 150)",0,-0.73577,-0.774773,-0.260021,0.15,0.99,0.679508
196,44000,"(5, 3, 0, 101)",1,-0.55,"(5, 4, 0, 100)",0,-0.485522,-0.491687,-0.041103,0.15,0.99,0.676793
198,44500,"(3, 6, 0, 51)",3,0.45,"(3, 5, 0, 50)",0,0.355072,0.423747,0.457834,0.15,0.99,0.674088
200,45000,"(1, 15, 0, 1)",0,-21.05,"(1, 15, 0, 0)",1,-1.885803,-4.760432,-19.164197,0.15,0.99,0.671394
203,45500,"(3, 6, 0, 176)",3,0.45,"(3, 5, 0, 175)",0,0.158925,0.299143,0.934788,0.15,0.99,0.667374
205,46000,"(3, 2, 0, 126)",1,-1.05,"(3, 2, 0, 125)",0,-1.37805,-1.533483,-1.036219,0.15,0.99,0.664707
207,46500,"(9, 2, 0, 76)",3,0.45,"(9, 1, 0, 75)",0,-0.161219,-0.139778,0.142944,0.15,0.99,0.662051
209,47000,"(3, 3, 0, 26)",1,-1.05,"(3, 3, 0, 25)",0,-2.953913,-3.106982,-1.020461,0.15,0.99,0.659406
212,47500,"(5, 4, 0, 201)",2,0.45,"(5, 3, 0, 200)",0,-0.874427,-0.808032,0.442628,0.15,0.99,0.655457
214,48000,"(4, 3, 0, 151)",0,0.45,"(3, 3, 0, 150)",0,-1.762234,-1.706286,0.372986,0.15,0.99,0.652838
216,48500,"(2, 15, 0, 101)",2,0.45,"(3, 15, 0, 100)",0,0.761178,0.823021,0.412287,0.15,0.99,0.650229
218,49000,"(1, 10, 0, 51)",1,0.45,"(1, 11, 0, 50)",0,0.56942,0.625206,0.371905,0.15,0.99,0.647631
220,49500,"(5, 14, 0, 1)",3,-20.55,"(5, 13, 0, 0)",1,-2.722539,-5.396658,-17.827461,0.15,0.99,0.645043
223,50000,"(4, 3, 0, 176)",2,-0.55,"(5, 3, 0, 175)",0,-1.925849,-1.929166,-0.022116,0.15,0.99,0.64118
225,50500,"(4, 11, 0, 126)",2,0.45,"(5, 11, 0, 125)",0,0.100535,0.185447,0.566079,0.15,0.99,0.638618
227,51000,"(4, 1, 0, 76)",0,0.45,"(3, 1, 0, 75)",0,0.152548,0.140952,-0.077308,0.15,0.99,0.636066
229,51500,"(3, 12, 0, 26)",3,0.45,"(3, 11, 0, 25)",0,-0.021359,-0.026739,-0.035863,0.15,0.99,0.633524
232,52000,"(5, 4, 0, 201)",1,-1.05,"(5, 4, 0, 200)",0,-0.801406,-0.938328,-0.912812,0.15,0.99,0.629731
234,52500,"(5, 6, 0, 151)",3,-1.05,"(5, 6, 0, 150)",0,0.16897,0.011217,-1.05169,0.15,0.99,0.627215
236,53000,"(4, 3, 0, 101)",2,-0.55,"(5, 3, 0, 100)",0,-1.203815,-1.216415,-0.083999,0.15,0.99,0.624708
238,53500,"(2, 3, 0, 51)",2,-0.55,"(3, 3, 0, 50)",0,-2.488165,-2.461932,0.174891,0.15,0.99,0.622212
240,54000,"(14, 5, 0, 1)",3,-19.55,"(13, 5, 0, 0)",1,0.0,-2.9325,-19.55,0.15,0.99,0.619726
243,54500,"(2, 3, 0, 176)",0,0.45,"(1, 3, 0, 175)",0,-2.998429,-3.005186,-0.045048,0.15,0.99,0.616015
245,55000,"(5, 3, 0, 126)",1,-0.55,"(5, 4, 0, 125)",0,-1.276984,-1.299005,-0.14681,0.15,0.99,0.613553
247,55500,"(4, 1, 0, 76)",2,-0.55,"(5, 1, 0, 75)",0,-0.009828,-0.032881,-0.153688,0.15,0.99,0.611101
249,56000,"(6, 3, 0, 26)",2,-0.55,"(7, 3, 0, 25)",0,-1.963036,-2.050534,-0.583321,0.15,0.99,0.608659
252,56500,"(3, 1, 0, 201)",0,0.45,"(3, 2, 0, 200)",0,-2.086906,-2.059685,0.181471,0.15,0.99,0.605015
254,57000,"(1, 5, 0, 151)",1,0.45,"(1, 6, 0, 150)",0,1.177999,1.218481,0.26988,0.15,0.99,0.602597
256,57500,"(3, 1, 0, 101)",1,0.45,"(3, 2, 0, 100)",0,-0.631824,-0.660352,-0.19019,0.15,0.99,0.600189
258,58000,"(5, 4, 0, 51)",0,-1.05,"(5, 4, 0, 50)",0,-1.236028,-1.337567,-0.676928,0.15,0.99,0.597791
260,58500,"(5, 8, 0, 1)",1,-21.05,"(5, 8, 0, 0)",1,-1.522765,-4.451851,-19.527235,0.15,0.99,0.595402
263,59000,"(5, 3, 0, 176)",1,0.45,"(4, 3, 0, 175)",0,-1.929661,-1.938745,-0.060564,0.15,0.99,0.591837
265,59500,"(3, 1, 0, 126)",1,0.45,"(3, 2, 0, 125)",0,-1.411526,-1.423603,-0.080515,0.15,0.99,0.589472
267,60000,"(1, 13, 0, 76)",1,0.45,"(1, 14, 0, 75)",0,1.265593,1.300538,0.232971,0.15,0.99,0.587116
269,60500,"(5, 14, 0, 26)",3,-0.55,"(5, 13, 0, 25)",0,-4.727055,-4.475458,1.677314,0.15,0.99,0.58477
272,61000,"(5, 7, 0, 201)",2,0.45,"(5, 8, 0, 200)",0,0.0,0.0675,0.45,0.15,0.99,0.581268
274,61500,"(2, 1, 0, 151)",1,-1.05,"(2, 1, 0, 150)",0,-2.148131,-2.189105,-0.273166,0.15,0.99,0.578946
276,62000,"(7, 3, 0, 101)",0,0.45,"(6, 3, 0, 100)",0,-0.020812,-0.028536,-0.051495,0.15,0.99,0.576632
278,62500,"(5, 14, 0, 51)",3,-1.05,"(5, 14, 0, 50)",0,-1.3912,-1.483155,-0.61303,0.15,0.99,0.574328
280,63000,"(1, 14, 1, 1)",1,-20.55,"(1, 15, 1, 0)",1,-2.665192,-5.347913,-17.884808,0.15,0.99,0.572033
283,63500,"(6, 3, 0, 176)",2,-0.55,"(7, 3, 0, 175)",0,-1.75763,-1.74649,0.074267,0.15,0.99,0.568608
285,64000,"(8, 1, 0, 126)",2,-0.55,"(9, 1, 0, 125)",0,-1.322947,-1.320343,0.017361,0.15,0.99,0.566335
287,64500,"(3, 5, 0, 76)",0,-1.05,"(3, 5, 0, 75)",0,1.012725,0.853706,-1.060127,0.15,0.99,0.564072
289,65000,"(6, 15, 0, 26)",0,-0.55,"(5, 15, 0, 25)",0,-4.363971,-4.272439,0.610213,0.15,0.99,0.561818
292,65500,"(3, 1, 0, 201)",0,0.45,"(3, 2, 0, 200)",0,-2.17773,-2.178601,-0.00581,0.15,0.99,0.558454
294,66000,"(5, 3, 0, 151)",1,-0.55,"(6, 3, 0, 150)",0,-2.156795,-2.176711,-0.132774,0.15,0.99,0.556223
296,66500,"(3, 3, 0, 101)",2,-1.05,"(3, 3, 0, 100)",0,-1.975471,-2.129442,-1.026473,0.15,0.99,0.554
298,67000,"(3, 3, 0, 51)",0,0.45,"(2, 3, 0, 50)",0,-2.45302,-2.403722,0.328653,0.15,0.99,0.551786
300,67500,"(1, 9, 0, 1)",2,-21.05,"(1, 9, 0, 0)",1,-2.238441,-5.060175,-18.811559,0.15,0.99,0.549581
303,68000,"(5, 8, 0, 176)",0,-1.05,"(5, 8, 0, 175)",0,-0.283112,-0.341298,-0.387912,0.15,0.99,0.54629
305,68500,"(3, 13, 0, 126)",2,-1.05,"(3, 13, 0, 125)",0,-0.570274,-0.515312,0.366413,0.15,0.99,0.544107
307,69000,"(5, 15, 0, 76)",0,-0.55,"(5, 14, 0, 75)",0,-1.731567,-1.66508,0.443246,0.15,0.99,0.541933
309,69500,"(3, 1, 0, 26)",1,0.45,"(3, 2, 0, 25)",0,-2.667511,-2.692412,-0.166005,0.15,0.99,0.539767
312,70000,"(2, 3, 0, 201)",3,-1.05,"(2, 3, 0, 200)",0,-4.298426,-4.398552,-0.667512,0.15,0.99,0.536535
314,70500,"(3, 11, 0, 151)",1,-1.05,"(3, 11, 0, 150)",0,-0.153909,-0.258381,-0.696477,0.15,0.99,0.534391
316,71000,"(1, 5, 0, 101)",3,-5.55,"(1, 4, 0, 100)",0,-4.55948,-4.634957,-0.50318,0.15,0.99,0.532256
318,71500,"(3, 2, 0, 51)",1,-1.05,"(3, 2, 0, 50)",0,-1.756747,-1.911612,-1.032433,0.15,0.99,0.530129
320,72000,"(7, 15, 1, 1)",2,-20.55,"(8, 15, 1, 0)",1,-3.523137,-6.077166,-17.026863,0.15,0.99,0.528011
323,72500,"(3, 3, 0, 176)",2,-1.05,"(3, 3, 0, 175)",0,-3.343011,-3.495496,-1.01657,0.15,0.99,0.524849
325,73000,"(3, 13, 0, 126)",2,-0.55,"(3, 14, 0, 125)",0,-0.122407,-0.022084,0.668816,0.15,0.99,0.522752
327,73500,"(3, 15, 0, 76)",3,0.45,"(3, 14, 0, 75)",0,0.945524,1.012895,0.449144,0.15,0.99,0.520663
329,74000,"(3, 13, 0, 26)",3,0.45,"(3, 12, 0, 25)",0,0.026564,0.027328,0.005091,0.15,0.99,0.518582
332,74500,"(5, 3, 0, 201)",0,-0.55,"(5, 4, 0, 200)",0,-2.221921,-2.196971,0.166339,0.15,0.99,0.515477
334,75000,"(1, 10, 0, 151)",1,0.45,"(1, 11, 0, 150)",0,1.19024,1.202598,0.082387,0.15,0.99,0.513417
336,75500,"(3, 3, 0, 101)",2,-0.55,"(4, 3, 0, 100)",0,-2.363303,-2.372072,-0.058461,0.15,0.99,0.511365
338,76000,"(5, 6, 0, 51)",3,-1.05,"(5, 6, 0, 50)",0,0.429965,0.27182,-1.0543,0.15,0.99,0.509322
340,76500,"(8, 15, 1, 1)",3,-21.05,"(8, 15, 1, 0)",1,-6.443387,-8.634379,-14.606613,0.15,0.99,0.507287
343,77000,"(4, 9, 0, 176)",0,-1.05,"(4, 9, 0, 175)",0,0.283173,0.125248,-1.052832,0.15,0.99,0.504249
345,77500,"(5, 14, 0, 126)",1,0.45,"(5, 15, 0, 125)",0,-0.380691,-0.376675,0.026772,0.15,0.99,0.502234
