algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,1,225,-222.75000000000023,-222.75000000000023,0.9954761904761905,0.15,0,out_of_energy,0,0,1,0,114,15,0,0,0,33,1.0960592506027569,19.6175,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,2,225,-169.75000000000006,-196.25000000000014,0.9909523809523809,0.15,0,out_of_energy,0,0,1,0,94,10,0,0,0,40,0.9477309703933234,20.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,3,225,-219.25000000000088,-203.91666666666706,0.9864285714285714,0.15,0,out_of_energy,0,0,1,0,125,13,0,0,0,44,1.0165459994135748,20.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,4,225,-159.74999999999983,-192.87500000000023,0.981904761904762,0.15,0,out_of_energy,0,0,1,0,108,4,0,0,0,49,0.8158306215120078,20.62752375,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,5,225,-173.74999999999986,-189.05000000000015,0.9773809523809524,0.15,0,out_of_energy,0,0,1,0,100,7,0,0,0,60,0.8525284044064465,19.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,6,225,-159.74999999999986,-184.16666666666677,0.9728571428571429,0.15,0,out_of_energy,0,0,1,0,98,7,0,0,0,43,0.8280151025099649,21.05,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,7,225,-142.74999999999957,-178.25000000000003,0.9683333333333334,0.15,0,out_of_energy,0,0,1,0,114,0,0,0,0,48,0.6995268552115658,19.62752375,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,8,225,-174.75000000000037,-177.81250000000006,0.9638095238095238,0.15,0,out_of_energy,0,0,1,0,94,10,0,0,0,43,0.8366589399919487,21.05,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,9,225,-205.74999999999977,-180.91666666666669,0.9592857142857143,0.15,0,out_of_energy,0,0,1,0,116,15,0,0,0,43,1.0226243280815348,20.76864875,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,10,225,-171.2500000000001,-179.95000000000005,0.9547619047619048,0.15,0,out_of_energy,0,0,1,0,115,8,0,0,0,41,0.852927409873141,20.670617346875,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,11,225,-150.74999999999963,-177.29545454545453,0.9502380952380952,0.15,0,out_of_energy,0,0,1,0,108,3,0,0,0,43,0.7332481394492631,19.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,12,225,-150.74999999999966,-175.0833333333333,0.9457142857142857,0.15,0,out_of_energy,0,0,1,0,100,4,0,0,0,47,0.776890903809138,19.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,13,225,-174.7500000000001,-175.05769230769226,0.9411904761904761,0.15,0,out_of_energy,0,0,1,0,96,9,0,0,0,52,0.8063316250508004,19.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,14,225,-135.24999999999957,-172.21428571428564,0.9366666666666666,0.15,0,out_of_energy,0,0,1,0,101,1,0,0,0,39,0.6528197361343158,20.190529102518962,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,15,225,-249.75000000000114,-177.38333333333333,0.9321428571428572,0.15,0,out_of_energy,0,0,1,0,102,23,0,0,0,44,1.1280624963469439,19.58527438647969,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,16,225,-256.25000000000097,-182.3125000000001,0.9276190476190476,0.15,0,out_of_energy,0,0,1,0,95,26,0,0,0,49,1.0918874022528684,20.7771689375,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,17,225,-174.25000000000037,-181.8382352941178,0.9230952380952381,0.15,0,out_of_energy,0,0,1,0,107,9,0,0,0,33,0.7492007917113973,20.60449292846076,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,18,225,-212.25000000000065,-183.52777777777794,0.9185714285714286,0.15,0,out_of_energy,0,0,1,0,111,14,0,0,0,42,0.896953863726411,20.553396616041564,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed1,shaped,1,3d29f3ca91,19,225,-190.25000000000048,-183.88157894736858,0.914047619047619,0.15,0,out_of_energy,0,0,1,0,95,13,0,0,0,51,0.7529225794899889,20.50938205826999,0.0,0.0,0.99,8,linear
