episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(3, 3, 0, 176)",2,-0.05,"(4, 3, 0, 175)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.990952
5,1000,"(4, 1, 0, 126)",1,-0.05,"(4, 1, 0, 125)",0,0.0,-0.0075,-0.05,0.15,0.99,0.981905
7,1500,"(2, 1, 0, 76)",0,-0.05,"(1, 1, 0, 75)",0,-0.014989,-0.021354,-0.042436,0.15,0.99,0.972857
9,2000,"(13, 2, 0, 26)",0,-0.05,"(13, 2, 0, 25)",0,0.0,-0.0075,-0.05,0.15,0.99,0.96381
12,2500,"(3, 1, 0, 201)",3,-0.05,"(4, 1, 0, 200)",0,-0.045308,-0.051349,-0.04027,0.15,0.99,0.950238
14,3000,"(6, 1, 0, 151)",1,-0.05,"(6, 1, 0, 150)",0,-0.059354,-0.063659,-0.028703,0.15,0.99,0.94119
16,3500,"(1, 4, 0, 101)",2,-0.05,"(1, 4, 0, 100)",0,-0.030417,-0.034468,-0.027008,0.15,0.99,0.932143
18,4000,"(1, 14, 0, 51)",3,-0.05,"(1, 13, 0, 50)",0,0.0,-0.0075,-0.05,0.15,0.99,0.923095
20,4500,"(6, 3, 0, 1)",0,-0.05,"(5, 3, 0, 0)",1,-0.027711,-0.031055,-0.022289,0.15,0.99,0.914048
23,5000,"(1, 4, 0, 176)",3,-0.05,"(1, 3, 0, 175)",0,-0.031933,-0.038782,-0.045666,0.15,0.99,0.900476
25,5500,"(8, 1, 0, 126)",2,-0.05,"(9, 1, 0, 125)",0,-0.03488,-0.039208,-0.028857,0.15,0.99,0.891429
27,6000,"(9, 3, 0, 76)",0,-0.05,"(9, 3, 0, 75)",0,-0.032048,-0.036801,-0.031688,0.15,0.99,0.882381
29,6500,"(3, 7, 0, 26)",3,-0.05,"(3, 7, 0, 25)",0,-0.028183,-0.03564,-0.049718,0.15,0.99,0.873333
32,7000,"(5, 3, 0, 201)",2,-0.05,"(6, 3, 0, 200)",0,-0.019294,-0.025013,-0.038131,0.15,0.99,0.859762
34,7500,"(13, 1, 0, 151)",1,-0.05,"(14, 1, 0, 150)",0,-0.014989,-0.02024,-0.035011,0.15,0.99,0.850714
36,8000,"(9, 2, 0, 101)",1,-0.05,"(9, 2, 0, 100)",0,-0.020408,-0.027072,-0.044431,0.15,0.99,0.841667
38,8500,"(3, 2, 0, 51)",3,-0.05,"(3, 1, 0, 50)",0,-0.025651,-0.032169,-0.04345,0.15,0.99,0.832619
40,9000,"(7, 3, 0, 1)",0,-0.05,"(6, 3, 0, 0)",1,-0.043127,-0.044158,-0.006873,0.15,0.99,0.823571
43,9500,"(1, 9, 0, 176)",3,-0.05,"(1, 9, 0, 175)",0,-0.028516,-0.033799,-0.03522,0.15,0.99,0.81
45,10000,"(11, 3, 0, 126)",0,-0.05,"(10, 3, 0, 125)",0,-0.026765,-0.033846,-0.047208,0.15,0.99,0.800952
47,10500,"(4, 1, 0, 76)",1,-0.05,"(4, 1, 0, 75)",0,-0.043947,-0.049624,-0.037852,0.15,0.99,0.791905
49,11000,"(9, 8, 0, 26)",1,-0.05,"(9, 9, 0, 25)",0,-0.013875,-0.020408,-0.04355,0.15,0.99,0.782857
52,11500,"(6, 3, 0, 201)",2,-0.05,"(6, 3, 0, 200)",0,-0.014989,-0.022466,-0.04985,0.15,0.99,0.769286
54,12000,"(3, 2, 0, 151)",2,-0.05,"(3, 2, 0, 150)",0,-0.08644,-0.093811,-0.049136,0.15,0.99,0.760238
56,12500,"(7, 12, 0, 101)",3,-0.05,"(7, 12, 0, 100)",0,-0.0075,-0.014989,-0.049925,0.15,0.99,0.75119
58,13000,"(6, 1, 0, 51)",0,-0.05,"(6, 1, 0, 50)",0,-0.057702,-0.064005,-0.04202,0.15,0.99,0.742143
60,13500,"(1, 4, 0, 1)",2,-0.05,"(1, 4, 0, 0)",1,-0.029933,-0.032943,-0.020067,0.15,0.99,0.733095
63,14000,"(11, 2, 0, 176)",0,-0.05,"(11, 3, 0, 175)",0,-0.024215,-0.031254,-0.046926,0.15,0.99,0.719524
65,14500,"(1, 12, 0, 126)",2,-0.05,"(1, 12, 0, 125)",0,-0.019294,-0.0239,-0.030706,0.15,0.99,0.710476
67,15000,"(5, 6, 0, 76)",3,-0.05,"(5, 5, 0, 75)",0,-0.02991,-0.036214,-0.042027,0.15,0.99,0.701429
69,15500,"(1, 11, 0, 26)",3,-0.05,"(1, 10, 0, 25)",0,-0.013875,-0.023222,-0.062316,0.15,0.99,0.692381
72,16000,"(6, 1, 0, 201)",2,-0.05,"(7, 1, 0, 200)",0,-0.117102,-0.117062,0.000267,0.15,0.99,0.67881
74,16500,"(5, 6, 0, 151)",0,-0.05,"(5, 6, 0, 150)",0,-0.048919,-0.05574,-0.045472,0.15,0.99,0.669762
76,17000,"(2, 1, 0, 101)",2,-0.05,"(3, 1, 0, 100)",0,-0.049902,-0.057686,-0.051895,0.15,0.99,0.660714
78,17500,"(14, 1, 0, 51)",1,-0.05,"(14, 1, 0, 50)",0,-0.022301,-0.029767,-0.049777,0.15,0.99,0.651667
80,18000,"(15, 6, 0, 1)",3,-0.05,"(15, 5, 0, 0)",1,-0.023106,-0.02714,-0.026894,0.15,0.99,0.642619
83,18500,"(11, 2, 0, 176)",3,-0.05,"(11, 1, 0, 175)",0,-0.031151,-0.04075,-0.06399,0.15,0.99,0.629048
85,19000,"(14, 1, 0, 126)",0,-0.05,"(14, 1, 0, 125)",0,-0.069379,-0.07456,-0.034544,0.15,0.99,0.62
87,19500,"(1, 12, 0, 76)",2,-0.05,"(1, 12, 0, 75)",0,-0.020408,-0.027877,-0.049796,0.15,0.99,0.610952
89,20000,"(11, 9, 0, 26)",0,-0.05,"(10, 9, 0, 25)",0,-0.027072,-0.032737,-0.037767,0.15,0.99,0.601905
92,20500,"(1, 3, 0, 201)",1,-0.05,"(1, 4, 0, 200)",0,-0.085648,-0.088836,-0.021257,0.15,0.99,0.588333
94,21000,"(1, 6, 0, 151)",0,-0.05,"(1, 6, 0, 150)",0,-0.066793,-0.073254,-0.043071,0.15,0.99,0.579286
96,21500,"(11, 8, 0, 101)",0,-0.05,"(11, 8, 0, 100)",0,0.0,-0.0075,-0.05,0.15,0.99,0.570238
98,22000,"(7, 12, 0, 51)",2,-0.05,"(7, 12, 0, 50)",0,-0.022301,-0.028516,-0.041435,0.15,0.99,0.56119
100,22500,"(13, 11, 0, 1)",2,-0.05,"(14, 11, 0, 0)",1,-0.021354,-0.025651,-0.028646,0.15,0.99,0.552143
103,23000,"(9, 3, 0, 176)",2,-0.05,"(10, 3, 0, 175)",0,-0.050836,-0.056494,-0.037722,0.15,0.99,0.538571
105,23500,"(10, 13, 0, 126)",2,-0.05,"(11, 13, 0, 125)",0,0.0,-0.0075,-0.05,0.15,0.99,0.529524
107,24000,"(6, 7, 0, 76)",1,-0.05,"(6, 7, 0, 75)",0,-0.035993,-0.042539,-0.04364,0.15,0.99,0.520476
109,24500,"(10, 1, 0, 26)",2,-0.05,"(11, 1, 0, 25)",0,-0.036777,-0.045022,-0.054966,0.15,0.99,0.511429
112,25000,"(3, 1, 0, 201)",1,-0.05,"(3, 2, 0, 200)",0,-0.272858,-0.272334,0.003493,0.15,0.99,0.497857
114,25500,"(3, 8, 0, 151)",3,-0.05,"(3, 7, 0, 150)",0,-0.060986,-0.067307,-0.042146,0.15,0.99,0.48881
116,26000,"(7, 12, 0, 101)",1,-0.05,"(7, 13, 0, 100)",0,-0.043494,-0.047641,-0.027646,0.15,0.99,0.479762
118,26500,"(15, 4, 0, 51)",3,-0.05,"(15, 3, 0, 50)",0,-0.058538,-0.063694,-0.034374,0.15,0.99,0.470714
120,27000,"(3, 1, 0, 1)",0,-0.05,"(2, 1, 0, 0)",1,-0.078278,-0.074036,0.028278,0.15,0.99,0.461667
123,27500,"(7, 10, 0, 176)",0,-0.05,"(7, 10, 0, 175)",0,0.0,-0.0075,-0.05,0.15,0.99,0.448095
125,28000,"(9, 2, 0, 126)",3,-0.05,"(9, 2, 0, 125)",0,-0.098635,-0.105987,-0.049014,0.15,0.99,0.439048
127,28500,"(1, 3, 0, 76)",2,-0.05,"(2, 3, 0, 75)",0,-0.080722,-0.087439,-0.044779,0.15,0.99,0.43
129,29000,"(1, 10, 0, 26)",0,-0.05,"(1, 10, 0, 25)",0,-0.055046,-0.060996,-0.039667,0.15,0.99,0.420952
132,29500,"(9, 3, 0, 201)",3,-0.05,"(9, 2, 0, 200)",0,-0.022745,-0.033849,-0.074031,0.15,0.99,0.407381
134,30000,"(15, 1, 0, 151)",0,-0.05,"(15, 1, 0, 150)",0,-0.067495,-0.074713,-0.04812,0.15,0.99,0.398333
136,30500,"(1, 1, 0, 101)",3,-0.05,"(1, 1, 0, 100)",0,-0.074518,-0.081907,-0.049255,0.15,0.99,0.389286
138,31000,"(1, 7, 0, 51)",2,-0.05,"(1, 7, 0, 50)",0,-0.069568,-0.076963,-0.049304,0.15,0.99,0.380238
140,31500,"(1, 11, 0, 1)",1,-0.05,"(1, 11, 0, 0)",1,-0.05012,-0.050102,0.00012,0.15,0.99,0.37119
143,32000,"(3, 9, 0, 176)",1,-0.05,"(3, 9, 0, 175)",0,-0.057639,-0.065052,-0.049424,0.15,0.99,0.357619
145,32500,"(13, 1, 0, 126)",1,-0.05,"(13, 2, 0, 125)",0,-0.075112,-0.078535,-0.022819,0.15,0.99,0.348571
147,33000,"(3, 13, 0, 76)",1,-0.05,"(3, 14, 0, 75)",0,-0.031792,-0.039052,-0.0484,0.15,0.99,0.339524
149,33500,"(3, 6, 0, 26)",0,-0.05,"(3, 6, 0, 25)",0,-0.072111,-0.079503,-0.049279,0.15,0.99,0.330476
152,34000,"(2, 5, 0, 201)",1,-0.05,"(2, 5, 0, 200)",0,-0.060168,-0.067029,-0.045744,0.15,0.99,0.316905
154,34500,"(3, 1, 0, 151)",0,-0.05,"(2, 1, 0, 150)",0,-0.143454,-0.152994,-0.063598,0.15,0.99,0.307857
156,35000,"(3, 13, 0, 101)",3,-0.05,"(3, 12, 0, 100)",0,-0.033727,-0.038534,-0.032049,0.15,0.99,0.29881
158,35500,"(10, 13, 0, 51)",0,-0.05,"(9, 13, 0, 50)",0,-0.051438,-0.055864,-0.029504,0.15,0.99,0.289762
