algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule
q_learning,shaped_seed5,shaped,5,4a77b6e251,1,225,-148.74999999999955,-148.74999999999955,0.998,0.15,0,out_of_energy,0,0,1,0,102,3,0,0,0,44,0.8248249366188062,19.55,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,2,225,-250.25000000000122,-199.5000000000004,0.996004,0.15,0,out_of_energy,0,0,1,0,105,22,0,0,0,45,1.2058787322147422,20.55,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,3,225,-214.75000000000102,-204.58333333333394,0.994011992,0.15,0,out_of_energy,0,0,1,0,104,16,0,0,0,43,1.106312468332048,20.4675,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,4,225,-242.25000000000122,-214.00000000000077,0.992023968016,0.15,0,out_of_energy,0,0,1,0,113,20,0,0,0,41,1.0163903157705774,20.4675,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,5,225,-237.7500000000012,-218.75000000000085,0.990039920079968,0.15,0,out_of_energy,0,0,1,0,94,22,0,0,0,54,1.1220372840546173,19.55,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,6,225,-147.24999999999957,-206.83333333333397,0.9880598402398081,0.15,0,out_of_energy,0,0,1,0,107,2,0,0,0,41,0.6531935024091782,19.258625000000002,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,7,225,-224.75000000000014,-209.39285714285774,0.9860837205593285,0.15,0,out_of_energy,0,0,1,0,108,17,0,0,0,46,1.124152847078894,20.758625000000002,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,8,225,-183.75000000000014,-206.1875000000005,0.9841115531182099,0.15,0,out_of_energy,0,0,1,0,128,5,0,0,0,48,0.7687264294448402,20.9675,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,9,225,-158.2499999999998,-200.86111111111154,0.9821433300119734,0.15,0,out_of_energy,0,0,1,0,127,0,0,0,0,38,0.6296899185402252,18.545320303546326,0.0,0.0,0.99,8,exponential
q_learning,shaped_seed5,shaped,5,4a77b6e251,10,225,-159.7499999999999,-196.75000000000037,0.9801790433519495,0.15,0,out_of_energy,0,0,1,0,112,3,0,0,0,35,0.7179442139924069,20.4675,0.0,0.0,0.99,8,exponential
