episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(5, 5, 0, 176)",2,-1.05,"(5, 5, 0, 175)",0,-0.1575,-0.291375,-0.8925,0.15,0.99,0.990952
5,1000,"(8, 1, 0, 126)",2,-0.55,"(9, 1, 0, 125)",0,-0.152625,-0.222994,-0.469126,0.15,0.99,0.981905
7,1500,"(9, 4, 0, 76)",3,0.45,"(9, 3, 0, 75)",0,0.0,0.0675,0.45,0.15,0.99,0.972857
9,2000,"(9, 3, 0, 26)",0,-1.05,"(9, 3, 0, 25)",0,-0.1575,-0.291375,-0.8925,0.15,0.99,0.96381
12,2500,"(5, 6, 0, 201)",2,-0.55,"(5, 7, 0, 200)",0,0.0,-0.072476,-0.483175,0.15,0.99,0.950238
14,3000,"(3, 2, 0, 151)",2,-1.05,"(3, 2, 0, 150)",0,-0.0825,-0.220179,-0.917863,0.15,0.99,0.94119
16,3500,"(5, 1, 0, 101)",0,0.45,"(4, 1, 0, 100)",0,0.233641,0.296976,0.422229,0.15,0.99,0.932143
18,4000,"(7, 3, 0, 51)",0,0.45,"(6, 3, 0, 50)",0,0.0,0.044111,0.294075,0.15,0.99,0.923095
20,4500,"(4, 11, 0, 1)",3,-21.05,"(4, 11, 0, 0)",1,0.0,-3.1575,-21.05,0.15,0.99,0.914048
23,5000,"(3, 3, 0, 176)",1,-1.05,"(3, 3, 0, 175)",0,-0.325837,-0.428521,-0.684564,0.15,0.99,0.900476
25,5500,"(2, 3, 0, 126)",1,-1.05,"(2, 3, 0, 125)",0,-0.83987,-0.895169,-0.368657,0.15,0.99,0.891429
27,6000,"(9, 1, 0, 76)",3,-1.05,"(9, 1, 0, 75)",0,-0.165937,-0.300568,-0.89754,0.15,0.99,0.882381
29,6500,"(1, 6, 0, 26)",1,-1.05,"(1, 6, 0, 25)",0,0.173644,0.015883,-1.051736,0.15,0.99,0.873333
32,7000,"(1, 1, 0, 201)",2,0.45,"(2, 1, 0, 200)",0,0.514524,0.574188,0.397755,0.15,0.99,0.859762
34,7500,"(6, 1, 0, 151)",0,-1.05,"(6, 1, 0, 150)",0,0.349051,0.191028,-1.053491,0.15,0.99,0.850714
36,8000,"(1, 6, 0, 101)",1,-1.05,"(1, 6, 0, 100)",0,0.394829,0.236737,-1.053948,0.15,0.99,0.841667
38,8500,"(3, 14, 0, 51)",3,0.45,"(3, 13, 0, 50)",0,0.272069,0.33921,0.447605,0.15,0.99,0.832619
40,9000,"(1, 14, 0, 1)",2,-21.05,"(1, 14, 0, 0)",1,-0.54589,-3.621507,-20.50411,0.15,0.99,0.823571
43,9500,"(3, 3, 0, 176)",0,-0.55,"(3, 2, 0, 175)",0,0.052751,-0.000925,-0.357838,0.15,0.99,0.81
45,10000,"(6, 15, 0, 126)",2,-4.55,"(7, 15, 0, 125)",0,0.0,-0.6825,-4.55,0.15,0.99,0.800952
47,10500,"(1, 5, 0, 76)",2,-0.55,"(2, 5, 0, 75)",0,-0.932219,-0.872464,0.398369,0.15,0.99,0.791905
49,11000,"(7, 15, 0, 26)",2,0.45,"(8, 15, 0, 25)",0,-2.875125,-2.356324,3.458675,0.15,0.99,0.782857
52,11500,"(6, 1, 0, 201)",2,-1.05,"(6, 1, 0, 200)",0,-1.548467,-1.382025,1.109613,0.15,0.99,0.769286
54,12000,"(1, 5, 0, 151)",1,0.45,"(1, 6, 0, 150)",0,0.254381,0.294006,0.264167,0.15,0.99,0.760238
56,12500,"(3, 14, 0, 101)",3,-1.05,"(3, 14, 0, 100)",0,0.26563,0.107731,-1.052656,0.15,0.99,0.75119
58,13000,"(10, 15, 0, 51)",2,-1.05,"(10, 15, 0, 50)",0,1.4925,1.332761,-1.064925,0.15,0.99,0.742143
60,13500,"(6, 15, 0, 1)",1,-21.05,"(6, 15, 0, 0)",1,-2.52851,-5.306733,-18.52149,0.15,0.99,0.733095
63,14000,"(2, 3, 0, 176)",1,-0.55,"(3, 3, 0, 175)",0,-1.025233,-0.991506,0.224847,0.15,0.99,0.719524
65,14500,"(5, 15, 0, 126)",2,0.45,"(6, 15, 0, 125)",0,-0.064288,-0.030414,0.225826,0.15,0.99,0.710476
67,15000,"(1, 9, 0, 76)",2,-1.05,"(1, 9, 0, 75)",0,-0.311548,-0.346307,-0.231727,0.15,0.99,0.701429
69,15500,"(5, 13, 1, 26)",0,-1.05,"(5, 13, 1, 25)",0,0.124875,-0.032812,-1.051249,0.15,0.99,0.692381
72,16000,"(7, 3, 0, 201)",0,0.45,"(6, 3, 0, 200)",0,0.124875,0.162881,0.253374,0.15,0.99,0.67881
74,16500,"(5, 4, 0, 151)",3,0.45,"(5, 3, 0, 150)",0,0.603139,0.625997,0.152385,0.15,0.99,0.669762
76,17000,"(2, 15, 0, 101)",0,-0.55,"(1, 15, 0, 100)",0,-0.510026,-0.446907,0.420792,0.15,0.99,0.660714
78,17500,"(1, 4, 0, 51)",2,-6.05,"(1, 4, 0, 50)",0,-2.937409,-3.464549,-3.514269,0.15,0.99,0.651667
80,18000,"(5, 13, 0, 1)",0,-21.05,"(5, 13, 0, 0)",1,-1.830067,-4.713057,-19.219933,0.15,0.99,0.642619
83,18500,"(3, 2, 0, 176)",1,0.45,"(3, 3, 0, 175)",0,-0.440502,-0.430296,0.068039,0.15,0.99,0.629048
85,19000,"(3, 3, 0, 126)",3,0.45,"(2, 3, 0, 125)",0,-0.842568,-0.830534,0.080226,0.15,0.99,0.62
87,19500,"(5, 14, 0, 76)",1,0.45,"(5, 15, 0, 75)",0,0.133869,0.137727,0.02572,0.15,0.99,0.610952
89,20000,"(5, 15, 0, 26)",2,0.45,"(6, 15, 0, 25)",0,-3.252477,-2.838442,2.760235,0.15,0.99,0.601905
92,20500,"(3, 3, 0, 201)",0,0.45,"(2, 3, 0, 200)",0,-1.061355,-1.034179,0.181173,0.15,0.99,0.588333
94,21000,"(3, 2, 0, 151)",3,-0.55,"(3, 1, 0, 150)",0,-0.478945,-0.503198,-0.161686,0.15,0.99,0.579286
96,21500,"(4, 3, 0, 101)",2,-0.55,"(5, 3, 0, 100)",0,-0.08856,-0.111203,-0.150948,0.15,0.99,0.570238
98,22000,"(5, 14, 0, 51)",3,-0.55,"(5, 13, 0, 50)",0,-0.293869,-0.329332,-0.23642,0.15,0.99,0.56119
100,22500,"(3, 11, 1, 1)",2,-20.55,"(4, 11, 1, 0)",1,-0.30245,-3.339582,-20.24755,0.15,0.99,0.552143
