episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
98,22000,"(3, 6, 0, 51)",2,-0.05,"(3, 6, 0, 50)",0,-0.03726,-0.044558,-0.048656,0.15,0.99,0.56119
100,22500,"(4, 9, 0, 1)",0,-0.05,"(3, 9, 0, 0)",1,-0.035662,-0.037813,-0.014338,0.15,0.99,0.552143
103,23000,"(9, 3, 0, 176)",2,-0.05,"(10, 3, 0, 175)",0,-0.054378,-0.061365,-0.046577,0.15,0.99,0.538571
105,23500,"(6, 7, 0, 126)",2,-0.05,"(7, 7, 0, 125)",0,-0.057046,-0.063807,-0.04507,0.15,0.99,0.529524
107,24000,"(2, 1, 0, 76)",0,-0.05,"(1, 1, 0, 75)",0,-0.081087,-0.088555,-0.049783,0.15,0.99,0.520476
109,24500,"(8, 13, 0, 26)",3,-0.05,"(7, 13, 0, 25)",0,-0.017211,-0.028318,-0.074045,0.15,0.99,0.511429
112,25000,"(5, 5, 0, 201)",3,-0.05,"(5, 4, 0, 200)",0,-0.047099,-0.056999,-0.066003,0.15,0.99,0.497857
114,25500,"(6, 3, 0, 151)",1,-0.05,"(6, 3, 0, 150)",0,-0.09265,-0.098609,-0.039729,0.15,0.99,0.48881
116,26000,"(7, 12, 0, 101)",2,-0.05,"(7, 11, 0, 100)",0,-0.036254,-0.042761,-0.043379,0.15,0.99,0.479762
118,26500,"(1, 7, 0, 51)",2,-0.05,"(1, 7, 0, 50)",0,-0.05911,-0.066521,-0.049409,0.15,0.99,0.470714
120,27000,"(9, 13, 0, 1)",0,-0.05,"(8, 13, 0, 0)",1,-0.067244,-0.064657,0.017244,0.15,0.99,0.461667
123,27500,"(1, 11, 0, 176)",0,-0.05,"(1, 11, 0, 175)",0,-0.023412,-0.030876,-0.049766,0.15,0.99,0.448095
125,28000,"(5, 4, 0, 126)",2,-0.05,"(5, 4, 0, 125)",0,-0.100383,-0.107059,-0.044506,0.15,0.99,0.439048
