algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule,cfg_replacing_traces
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,1,225,-11.250000000000025,-11.250000000000025,0.998,0.1,0,out_of_energy,0,0,1,0,114,15,0,0,0,33,0.049065110175089695,0.08661553561277792,69.64888888888889,147.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,2,225,-11.250000000000025,-11.250000000000025,0.996004,0.1,0,out_of_energy,0,0,1,0,94,10,0,0,0,40,0.04883809378623274,0.10198752576748084,69.31111111111112,133.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,3,225,-11.250000000000025,-11.250000000000023,0.994011992,0.1,0,out_of_energy,0,0,1,0,117,1,0,0,0,44,0.04911011993686328,0.15076430721426348,67.78666666666666,134.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,4,225,-11.250000000000025,-11.250000000000025,0.992023968016,0.1,0,out_of_energy,0,0,1,0,97,6,0,0,0,49,0.04851091268536038,0.10115292192844857,63.55555555555556,132.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,5,225,-11.250000000000025,-11.250000000000025,0.990039920079968,0.1,0,out_of_energy,0,0,1,0,132,19,0,0,0,60,0.048899848443398876,0.10564403712774066,45.89333333333333,103.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,6,225,-11.250000000000025,-11.250000000000027,0.9880598402398081,0.1,0,out_of_energy,0,0,1,0,113,7,0,0,0,43,0.04880483741462236,0.12388361331232398,72.14666666666666,136.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,7,225,-11.250000000000025,-11.250000000000027,0.9860837205593285,0.1,0,out_of_energy,0,0,1,0,109,12,0,0,0,48,0.048156626992504975,0.08554689619015222,67.87555555555555,129.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,8,225,-11.250000000000025,-11.250000000000025,0.9841115531182099,0.1,0,out_of_energy,0,0,1,0,112,7,0,0,0,43,0.048440343706707065,0.11890822138634516,67.33333333333333,136.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,9,225,-11.250000000000025,-11.250000000000025,0.9821433300119734,0.1,0,out_of_energy,0,0,1,0,101,3,0,0,0,43,0.048976438082161684,0.12757507334278284,68.19555555555556,130.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,10,225,-11.250000000000025,-11.250000000000025,0.9801790433519495,0.1,0,out_of_energy,0,0,1,0,119,1,0,0,0,41,0.04827470519175578,0.14043983527713022,54.72,109.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,11,225,-11.250000000000025,-11.250000000000027,0.9782186852652456,0.1,0,out_of_energy,0,0,1,0,105,26,0,0,0,43,0.04868493594021906,0.12892388241842945,77.24444444444444,146.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,12,225,-11.250000000000025,-11.250000000000027,0.976262247894715,0.1,0,out_of_energy,0,0,1,0,106,9,0,0,0,47,0.04839280589402492,0.13852795617418387,67.33333333333333,136.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,13,225,-11.250000000000025,-11.250000000000027,0.9743097233989256,0.1,0,out_of_energy,0,0,1,0,111,36,0,0,0,52,0.048588572093770446,0.14160134541057917,62.13333333333333,124.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,14,225,-11.250000000000025,-11.250000000000027,0.9723611039521278,0.1,0,out_of_energy,0,0,1,0,122,22,0,0,0,39,0.0501622264571995,0.16723563962065852,68.29333333333334,142.0,0.99,8,exponential,True
sarsa_lambda,sparse_seed1,sparse,1,3d29f3ca91,15,225,-11.250000000000025,-11.250000000000027,0.9704163817442236,0.1,0,out_of_energy,0,0,1,0,108,27,0,0,0,44,0.0487843769988053,0.13061573602586665,61.653333333333336,124.0,0.99,8,exponential,True
