algorithm,reward_mode,seed,label,episodes,success_rate,key_rate,mean_return,std_return,mean_steps,mean_steps_when_solved,mean_energy_left,mean_wall_collisions,mean_penalty_entries,episodes_to_threshold,late_eval_success_std,late_return_std,memory_kilobytes,train_seconds,lam
sarsa_lambda,shaped,1,sweep_shaped_lam0.0_seed1,3000,1.0,1.0,107.23983333333332,7.328161773065741,154.33666666666667,154.33666666666667,70.66333333333333,25.81,2.7466666666666666,800.0,0.0,8.0346280211034,132.0,6.750684600000568,0.0
sarsa_lambda,shaped,2,sweep_shaped_lam0.0_seed2,3000,1.0,1.0,105.32349999999998,7.137519836516501,152.33,152.33,72.67,27.643333333333334,2.783333333333333,700.0,0.0,8.64178728258802,132.0,6.404581099999632,0.0
sarsa_lambda,shaped,3,sweep_shaped_lam0.0_seed3,3000,1.0,1.0,107.89016666666666,7.848351948374597,149.66333333333333,149.66333333333333,75.33666666666667,24.94333333333333,2.8366666666666664,800.0,0.0,8.697443460580807,132.0,6.423957699999846,0.0
sarsa_lambda,shaped,1,sweep_shaped_lam0.3_seed1,3000,1.0,1.0,107.59833333333333,7.678767081302094,156.36666666666667,156.36666666666667,68.63333333333334,25.433333333333334,2.73,700.0,0.0,8.113269609103346,132.0,6.697856800000409,0.3
sarsa_lambda,shaped,2,sweep_shaped_lam0.3_seed2,3000,1.0,1.0,107.08983333333332,7.7622175722462625,155.07,155.07,69.93,25.723333333333333,2.7866666666666666,700.0,0.0,8.510665275846533,132.0,6.692338600000767,0.3
sarsa_lambda,shaped,3,sweep_shaped_lam0.3_seed3,3000,1.0,1.0,105.39633333333332,6.851638725313972,152.14,152.14,72.86,27.88,2.723333333333333,800.0,0.0,7.3552153223070205,132.0,6.534938300000249,0.3
sarsa_lambda,shaped,1,sweep_shaped_lam0.7_seed1,3000,1.0,1.0,101.57516666666666,7.833066128421365,178.83,178.83,46.17,30.216666666666665,2.7533333333333334,1000.0,0.0,10.958148919867805,132.0,7.198649400000249,0.7
sarsa_lambda,shaped,2,sweep_shaped_lam0.7_seed2,3000,1.0,1.0,89.67499999999997,9.377587198563758,209.5,209.5,15.5,33.63333333333333,4.1433333333333335,1000.0,0.0,14.469365051722205,132.0,7.922514099999717,0.7
sarsa_lambda,shaped,3,sweep_shaped_lam0.7_seed3,3000,1.0,1.0,103.66383333333333,9.490245885761974,159.25666666666666,159.25666666666666,65.74333333333334,28.05666666666667,2.9633333333333334,1100.0,0.0,12.150205695275282,132.0,7.005404600000475,0.7
sarsa_lambda,shaped,1,sweep_shaped_lam0.9_seed1,3000,0.0,0.9966666666666667,-44.56333333333342,6.37718502859126,225.0,,0.0,34.86333333333334,1.2366666666666666,,0.0,13.161268698343566,132.0,8.355674299999919,0.9
sarsa_lambda,shaped,2,sweep_shaped_lam0.9_seed2,3000,0.0,0.0,-58.69833333333333,5.190038267895675,225.0,,0.0,28.99,0.023333333333333334,,0.0,7.774953376065913,132.0,8.283039599999938,0.9
sarsa_lambda,shaped,3,sweep_shaped_lam0.9_seed3,3000,0.0,1.0,-47.57000000000002,7.431191021632962,225.0,,0.0,38.45333333333333,1.2233333333333334,,0.0,8.56043186702627,132.0,8.292601099999956,0.9
