algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule,cfg_replacing_traces
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,1,225,-11.250000000000025,-11.250000000000025,0.998,0.1,0,out_of_energy,0,0,1,0,111,28,0,0,0,34,0.04828723534726686,0.10138109168876025,62.79555555555555,125.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,2,225,-11.250000000000025,-11.250000000000025,0.996004,0.1,0,out_of_energy,0,0,1,0,124,12,0,0,0,47,0.0491803042066417,0.12652524177515,62.43555555555555,115.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,3,225,-11.250000000000025,-11.250000000000023,0.994011992,0.1,0,out_of_energy,0,0,1,0,120,18,0,0,0,43,0.04941849684718125,0.1470946577249269,62.471111111111114,120.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,4,225,-11.250000000000025,-11.250000000000025,0.992023968016,0.1,0,out_of_energy,0,0,1,0,103,17,0,0,0,45,0.048144029611526584,0.12513681041197455,69.17777777777778,136.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,5,225,-11.250000000000025,-11.250000000000025,0.990039920079968,0.1,0,out_of_energy,0,0,1,0,113,6,0,0,0,51,0.056935416853986606,0.21443152052588443,67.78666666666666,135.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,6,225,-11.250000000000025,-11.250000000000027,0.9880598402398081,0.1,0,out_of_energy,0,0,1,0,109,12,0,0,0,44,0.05195055216849791,0.1916213796149848,64.78222222222222,137.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,7,225,-11.250000000000025,-11.250000000000027,0.9860837205593285,0.1,0,out_of_energy,0,0,1,0,104,41,0,0,0,46,0.0558121252962096,0.2264840579720039,76.95555555555555,140.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,8,225,-11.250000000000025,-11.250000000000025,0.9841115531182099,0.1,0,out_of_energy,0,0,1,0,107,37,0,0,0,32,0.052420102118123424,0.2062941102467161,66.23555555555555,127.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,9,225,-11.250000000000025,-11.250000000000025,0.9821433300119734,0.1,0,out_of_energy,0,0,1,0,94,5,0,0,0,45,0.052677170137603896,0.1906003052445306,81.91111111111111,157.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,10,225,-11.250000000000025,-11.250000000000025,0.9801790433519495,0.1,0,out_of_energy,0,0,1,0,116,2,0,0,0,41,0.05476614973317144,0.22067896547497257,63.37777777777778,121.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,11,225,-11.250000000000025,-11.250000000000027,0.9782186852652456,0.1,0,out_of_energy,0,0,1,0,98,29,0,0,0,47,0.059736784751911486,0.2676827571789756,63.586666666666666,130.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,12,225,-11.250000000000025,-11.250000000000027,0.976262247894715,0.1,0,out_of_energy,0,0,1,0,109,3,0,0,0,50,0.05206731970359671,0.13848521102168282,69.39111111111112,133.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,13,225,-11.250000000000025,-11.250000000000027,0.9743097233989256,0.1,0,out_of_energy,0,0,1,0,107,0,0,0,0,38,0.05640069470155359,0.18974500487276258,59.004444444444445,123.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,14,225,-11.250000000000025,-11.250000000000027,0.9723611039521278,0.1,0,out_of_energy,0,0,1,0,116,5,0,0,0,40,0.05575312719221562,0.27666971018104064,58.297777777777775,120.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,15,225,-11.250000000000025,-11.250000000000027,0.9704163817442236,0.1,0,out_of_energy,0,0,1,0,103,5,0,0,0,45,0.05936662760293073,0.23384784485585275,67.98222222222222,130.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,16,225,-11.250000000000025,-11.250000000000025,0.9684755489807352,0.1,0,out_of_energy,0,0,1,0,105,5,0,0,0,46,0.05960092667449897,0.23294804419224147,59.80888888888889,116.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,17,225,-11.250000000000025,-11.250000000000025,0.9665385978827737,0.1,0,out_of_energy,0,0,1,0,127,5,0,0,0,46,0.06381163691707238,0.38930959552386524,47.87111111111111,105.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,18,225,-11.250000000000025,-11.250000000000025,0.9646055206870082,0.1,0,out_of_energy,0,0,1,0,107,1,0,0,0,51,0.06140605654273819,0.27229510988486494,65.84,131.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,19,225,-11.250000000000025,-11.250000000000025,0.9626763096456342,0.1,0,out_of_energy,0,0,1,0,104,15,0,0,0,37,0.059758576108978015,0.3124672306641474,66.75555555555556,140.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,20,225,-11.250000000000025,-11.250000000000025,0.9607509570263429,0.1,0,out_of_energy,0,0,1,0,89,23,0,0,0,33,0.06519238299104387,0.2572955340030986,68.15555555555555,127.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,21,225,-11.250000000000025,-11.250000000000025,0.9588294551122902,0.1,0,out_of_energy,0,0,1,0,127,8,0,0,0,46,0.06370869578559998,0.3815710109858579,46.51555555555556,94.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,22,225,-11.250000000000025,-11.250000000000027,0.9569117962020657,0.1,0,out_of_energy,0,0,1,0,122,15,0,0,0,48,0.06752808801790239,0.35661092407473505,57.89333333333333,127.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,23,225,-11.250000000000025,-11.250000000000025,0.9549979726096616,0.1,0,out_of_energy,0,0,1,0,114,41,0,0,0,43,0.0641333898655046,0.2838522211849889,61.715555555555554,130.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,24,225,-11.250000000000025,-11.250000000000023,0.9530879766644422,0.1,0,out_of_energy,0,0,1,0,102,3,0,0,0,43,0.06568968513603697,0.23561264444123495,60.01777777777778,122.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,25,225,-11.250000000000025,-11.250000000000023,0.9511818007111134,0.1,0,out_of_energy,0,0,1,0,108,19,0,0,0,32,0.06604351341410895,0.23296156501427745,73.42666666666666,141.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,26,225,-11.250000000000025,-11.250000000000021,0.9492794371096911,0.1,0,out_of_energy,0,0,1,0,117,0,0,0,0,59,0.06795825497559935,0.30851544514792467,60.66222222222222,130.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,27,225,-11.250000000000025,-11.250000000000021,0.9473808782354717,0.1,0,out_of_energy,0,0,1,0,113,23,0,0,0,45,0.06559050686368322,0.3985173324013204,49.80888888888889,104.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,28,225,-11.250000000000025,-11.25000000000002,0.9454861164790007,0.1,0,out_of_energy,0,0,1,0,104,11,0,0,0,43,0.05950801633161408,0.4328058383315272,61.15111111111111,134.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.9_seed2,sparse,2,3d29f3ca91,29,225,-11.250000000000025,-11.25000000000002,0.9435951442460427,0.1,0,out_of_energy,0,0,1,0,108,18,0,0,0,54,0.07177985440487489,0.3549139007841269,58.79555555555555,123.0,0.99,8,exponential,True
