algorithm,reward_mode,seed,label,episodes,success_rate,key_rate,mean_return,std_return,mean_steps,mean_steps_when_solved,mean_energy_left,train_seconds
value_iteration,sparse,,sparse,0,1.0,1.0,104.17,0.3442140806726708,116.6,116.6,108.4,0.024536699999771372
value_iteration,shaped,,shaped,0,1.0,1.0,108.63483333333332,9.583766394563023,116.70333333333333,116.70333333333333,108.29666666666667,0.024578999999903317
