algorithm,reward_mode,runs,success_rate,success_rate_std,mean_return,return_std,mean_steps,mean_penalty_entries,memory_kilobytes,train_seconds,policy_agreement,weighted_policy_agreement
q_learning,shaped,5,1.0,0.0,97.7224,4.124980393219402,174.09866666666667,3.143333333333333,132.0,6.2246597800001835,0.5327272727272727,0.6578678817454092
q_learning,sparse,5,0.010666666666666661,0.022035325174717884,-0.17396666666664884,2.221343982567511,224.81266666666664,14.315999999999999,132.0,6.813661560000037,0.3090909090909091,0.3350298692206225
sarsa_lambda,shaped,5,1.0,0.0,98.27403333333332,7.383637611675944,177.43933333333334,3.078666666666667,132.0,7.3204545200000215,0.4419090909090909,0.5559008011849735
sarsa_lambda,sparse,5,0.9833333333333332,0.02697735676039778,98.32606666666669,2.6738692745200354,200.14533333333333,5.255333333333334,132.0,7.739734360000329,0.34718181818181815,0.38886271169475245
value_iteration,shaped,1,1.0,0.0,108.63483333333332,0.0,116.70333333333332,4.2,548.2,0.0240987999995923,1.0,1.0
value_iteration,sparse,1,1.0,0.0,104.17,0.0,116.6,4.2,548.2,0.024072299999716,1.0,1.0
